file,url,sha256,doi,license,accessed
a1r.tab,https://dataverse.harvard.edu/api/access/datafile/4803077,06134deebb34b08ffac91068727b55c1ec4dde88df5f388e1552b0bfa54c6818,10.7910/DVN/KJ8IH2,CC0 1.0,2026-09-11
climate.tab,https://dataverse.harvard.edu/api/access/datafile/10472491,5e95a85c1fe356673c2b0a56d1e9aa463ab40e1defe3b33f1940ff83e5eee83a,10.7910/DVN/IIOG1S,CC0 1.0,2026-09-11
