poll,item,reason
UK Crime 1994,Britain has the largest prison population in Western Europe,"Ambiguous: Germany held more prisoners in absolute numbers, Britain more per head"
Australia Republic 1999,The word 'Royal' in the Navy and Air Force names will definitely change,"Ambiguous: the model left the names to Parliament, but participants moved toward 'will change' after the briefing, which suggests the materials said so; the public data also key 'Yes' as correct"
Denmark Euro 2000,The Danish National Bank will be closed / continue / become part of the ECB,"Ambiguous: national central banks continue to operate within the European System of Central Banks"
Denmark Euro 2000,Denmark is already in a monetary cooperation in which members help each other,Not in the public release
Australia Aborigines 2001,"When Aborigines were first counted in the census; the result of the Mabo case",Not in the public release
Australia Aborigines 2001,When the removal of Aboriginal children ceased,"Ambiguous: removals continued into the 1970s"
National Issues Convention 1999 and 2003-04,Federal spending and Iraq items,Not in the public release
Brazil,Several items,Not in the public release
By the People 2004,Control group,"Not in the public release; only participants are"
Denmark Euro 2000,Control group,Not in the public release
