end,from_dk,from_wrong,difference,std_error,lower,upper,n_wrong,n_dk
correct,0.6207584830339326,0.6466287571080412,0.006733643616042572,0.02306750831727743,-0.03847784189889933,0.051945129130984466,1231,1002
dk,0.2584830339321353,0.11779041429731964,-0.09660782267196401,0.020089642089195413,-0.13598279762908702,-0.057232847714841,1231,1002
incorrect,0.1207584830339322,0.2355808285946399,0.08987417905592082,0.01679374194539559,0.05695904967728586,0.1227893084345558,1231,1002
