t1,t2,n,share,from
correct,correct,2842,0.8820608317815022,3222
correct,dk,229,0.07107386716325263,3222
correct,incorrect,151,0.04686530105524519,3222
dk,correct,622,0.6207584830339321,1002
dk,dk,259,0.25848303393213573,1002
dk,incorrect,121,0.12075848303393213,1002
incorrect,correct,796,0.6466287571080422,1231
incorrect,dk,145,0.11779041429731925,1231
incorrect,incorrect,290,0.2355808285946385,1231
