poll,answers,respondents,items
Australia Republic 1999,1041,347,3
By the People 2004,1250,250,5
Denmark Euro 2000,1452,363,4
UK Crime 1994,299,299,1
UK Europe 1995,448,224,2
UK General Election 1997,275,275,1
UK Health 1998,690,230,3
